universe_id,universe_model,universe_exclude_features,universe_exclude_subgroups,universe_scale,q_hat,coverage,avg_size,cov_frau1,cov_nongerman,cov_nongerman_male,cov_nongerman_female
4d55a3abc675cb73a43f36b6536d61dd,logreg,sex,keep-all,do-not-scale,0.6710663570706986,0.9117489688997882,1.201281908371419,0.9117670845127376,0.929489698534778,0.9427181842745204,0.9076005961251864
c5cd2855fa6a148e3f7f3878916b499e,gbm,nationality-sex,keep-all,do-not-scale,0.6614847267130588,0.9113476758443876,1.1091405640396834,0.912980186008896,0.9093920170661876,0.9253354949112852,0.88301043219076
e1607e773d0923e8f830b35e6717f50d,gbm,sex,drop-non-german,scale,0.6593342820056596,0.9110355590235202,1.109932003121168,0.9137080469065912,0.9095604333913434,0.9254255606592812,0.8833084947839046
faf071549fe2da5d80f6703d540ac20a,elasticnet,age,keep-all,scale,0.6629004530723757,0.9106119719094862,1.1249470516107458,0.909826122118884,0.9077078538146298,0.9241646401873368,0.8804769001490313
aab90f968f4c380d738a3d6184711202,elasticnet,age,keep-all,do-not-scale,0.6486520260050708,0.9121056738379222,1.2357039349013488,0.9100957002291414,0.9569415595351708,0.9667657389894624,0.9406855439642324
777d87c9eea575626f6230fc91836028,rf,none,drop-non-german,do-not-scale,0.65,0.9157173113365288,1.1460149370192845,0.9168081951745518,0.909841127266603,0.9234441142033684,0.8873323397913562
876cfc3c17668ce32709139d5c123818,logreg,none,keep-all,scale,0.660980196706658,0.9113699699030208,1.1243897001449117,0.9119557891899178,0.910795486442486,0.9255156264072774,0.8864381520119226
c47c5a76445d831a16ee271956e6271b,penalized_logreg,nationality-sex,drop-non-german,scale,0.6603291286528405,0.9114145580202876,1.124757552112362,0.9116322954576088,0.910570931342278,0.9257858236512654,0.8853949329359165
f926296383a2cf35333d0bcb041505db,penalized_logreg,nationality,keep-all,do-not-scale,0.6775451344506666,0.9117266748411548,1.1986957975699477,0.9110392236150424,0.9281985067085836,0.9419976582905522,0.905365126676602
36d38d02ffae68facba46031aaea0ba7,rf,age,drop-non-german,scale,0.65,0.914145580202876,1.1352914948166313,0.9145167812373636,0.9108516252175376,0.9256056921552732,0.8864381520119226
a485cfbef2a6a98b47ebbf81b69970f6,logreg,none,drop-non-german,do-not-scale,0.668098115767289,0.9124623787760562,1.218883067662468,0.9118210001347892,0.938921012743502,0.9500135098621996,0.9205663189269748
52ad417ff8243f505da85f05dd3e875d,elasticnet,sex,drop-non-german,scale,0.6601990896192984,0.9114145580202876,1.1246906699364618,0.9116592532686346,0.9104586537921744,0.9256056921552732,0.8853949329359165
9f219d593d51b0a4d8b1a90be8ed5ad6,penalized_logreg,nationality,drop-non-german,scale,0.6602981906726765,0.911470293166871,1.1247464050830454,0.9114166329694028,0.9104586537921744,0.9257858236512654,0.885096870342772
8fa529911a6b9915e58035aaf834724b,rf,none,keep-all,do-not-scale,0.65,0.9155723999554118,1.1419908594359602,0.9158107561665992,0.9128726211194071,0.9267765468792218,0.889865871833085
df451474ea080802a1c509dd31228f18,logreg,none,drop-non-german,scale,0.6602982095488359,0.911470293166871,1.1247464050830454,0.9114166329694028,0.9104586537921744,0.9257858236512654,0.885096870342772
d1da93b17859c5773937b7fb7a4b3ff7,logreg,age,keep-all,do-not-scale,0.6649481465457131,0.9131869356816408,1.254966001560584,0.9131419328750504,0.9636220737663505,0.9691074484373592,0.9545454545454546
1cca99ae8c91c70a687b812cbe852867,gbm,sex,keep-all,do-not-scale,0.6614270875456063,0.9113476758443876,1.10911826998105,0.912980186008896,0.9093920170661876,0.9253354949112852,0.88301043219076
6ca658ca56cb6bfdacd97aa3f4de198b,logreg,age,drop-non-german,scale,0.6645135569008677,0.9111804704046372,1.1260506075130978,0.9100687424181156,0.9064166619884354,0.9235341799513644,0.8780923994038748
6a9cb2c11139c8ce7247e61722752e57,elasticnet,age,drop-non-german,do-not-scale,0.6476304068587618,0.911291940697804,1.242113476758444,0.908990429977086,0.956211755459496,0.965955147257498,0.9400894187779434
56acaf047c54a5e829ac03edeb8fb9a3,gbm,none,keep-all,scale,0.6626252801817313,0.9111024411994204,1.1090736818637834,0.9136810890955654,0.9094481558412396,0.924795100423309,0.884053651266766
24ec900894c13c1ae40a2653ffba70b2,gbm,none,keep-all,do-not-scale,0.6626252801817313,0.9111024411994204,1.1090848288931,0.9136810890955654,0.9094481558412396,0.924795100423309,0.884053651266766
e4138ba25e08c402284760c02aae46a7,logreg,none,keep-all,do-not-scale,0.6716481878665744,0.9118715862222716,1.204681752313009,0.9110661814260682,0.9305563352607646,0.9437989732504728,0.9086438152011922
