universe_id,universe_training_year,universe_training_size,universe_scale,universe_model,universe_exclude_features,universe_exclude_subgroups,q_hat,coverage,avg_size,cov_frau1,cov_nongerman,cov_nongerman_male,cov_nongerman_female
2e69c14e2cb12198272b131466ca8c37,2014,25k,scale,gbm,nationality,keep-all,0.6808046259109541,0.9105896778508528,1.1107791773492364,0.9124140719773556,0.9102340986919666,0.9249752319193012,0.8858420268256334
98851e6008be73389c00cbaca42a4a22,2012_14,25k,scale,logreg,sex,drop-non-german,0.6622980825290672,0.9112139114925872,1.124757552112362,0.910257447095296,0.9097288497164993,0.9253354949112852,0.8839046199701938
3f6cff82b9c68a66c8e8f9ecf13776d0,2014,25k,do-not-scale,elasticnet,nationality,drop-non-german,0.6541510649869564,0.9136885520008916,1.264485564597035,0.9124949454104326,0.9635097962162466,0.9712690263892642,0.9506706408345752
0b61771e9dffdfb2563073a617c2c6df,2012_14,25k,do-not-scale,gbm,nationality,keep-all,0.6602593110233073,0.911793557017055,1.1158287816296957,0.9135463000404368,0.9083815191152528,0.9249752319193012,0.8809239940387481
cd77757e03e7e72179a87d060cce519b,2012_14,25k,scale,logreg,nationality-sex,drop-non-german,0.6622980858560944,0.9112139114925872,1.124757552112362,0.910257447095296,0.9097288497164993,0.9253354949112852,0.8839046199701938
100a0dd512f2da5bcc2c30a16f9e78a8,2012_14,25k,scale,rf,nationality,keep-all,0.6599999999999999,0.9162635157730464,1.144922528146249,0.9155681358673676,0.9108516252175376,0.9235341799513644,0.889865871833085
8574f00ba5c34f822b76d2f1f4ad553d,2012_14,25k,scale,rf,sex,keep-all,0.6599999999999999,0.9166425147698138,1.1461487013710847,0.915837713977625,0.9124235109189918,0.9265063496352336,0.8891207153502235
238c9f4730505e43b107881cfc65f81f,2014,25k,scale,rf,none,drop-non-german,0.6699999999999999,0.915494370750195,1.1556571173782186,0.9143819921822348,0.9147813394711728,0.9295685850670988,0.8903129657228018
76b80b2c920af3d4c4d49a26c5a9ab8f,2012_14,25k,do-not-scale,gbm,none,drop-non-german,0.6573313728438169,0.9115148812841378,1.115750752424479,0.9127375657096644,0.9078762701397856,0.924705034675313,0.8800298062593145
d5bd755f840af4a8dd001d7750391279,2012_14,25k,do-not-scale,rf,none,keep-all,0.6599999999999999,0.9153829004570282,1.143317355924646,0.9154063890012132,0.9135462864200304,0.927136809871206,0.8910581222056632
6bbc2ba84ee6061532b1418a0301613b,2014,25k,do-not-scale,rf,age,drop-non-german,0.6699999999999999,0.9160071340987628,1.1496154274885744,0.9144359078042864,0.9134340088699264,0.927407007115194,0.8903129657228018
ef0b5702ea097f4599214d88d43eb321,2014,25k,do-not-scale,penalized_logreg,age,drop-non-german,0.6427170180308777,0.913142347564374,1.2499944264853418,0.9130341016309476,0.9612642452141694,0.9676663964694228,0.9506706408345752
1b8e23e1b739e0b606b946931e0e2171,2012_14,25k,do-not-scale,logreg,none,keep-all,0.6799610804304876,0.911581763460038,1.2020510533942703,0.9103652783393988,0.9296581148599338,0.9428082500225164,0.9078986587183308
c6ad0023211bb7a75eb00746f12519e5,2010_14,25k,scale,logreg,nationality-sex,drop-non-german,0.6596793236665499,0.9100657674729684,1.1248021402296289,0.909502628386575,0.9100656823668108,0.9256957579032694,0.8842026825633383
e1a23ce94a22c6cb1a4162da178861e1,2014,25k,scale,elasticnet,nationality-sex,keep-all,0.676114054251288,0.9126184371864898,1.1259168431612976,0.9127106078986388,0.9127042047942514,0.9274970728631902,0.8882265275707899
b8fc0fe78241071ea616fa9dfa708251,2012_14,25k,scale,penalized_logreg,sex,keep-all,0.6650178353997839,0.911826998105005,1.1251811392263962,0.9113896751583772,0.9102340986919666,0.9257858236512654,0.8845007451564829
a439ddea44b6b085ec2927078bde0af6,2012_14,25k,scale,penalized_logreg,sex,drop-non-german,0.6628337128715276,0.9108906476424034,1.1242224947051611,0.9098800377409354,0.9094481558412396,0.9251553634152933,0.8834575260804769
10180d696729cd6e4d101f81b6fb5e79,2014,25k,do-not-scale,elasticnet,none,drop-non-german,0.6541603727725793,0.9136885520008916,1.2644632705384016,0.9124949454104326,0.9635097962162466,0.9712690263892642,0.9506706408345752
d873fb08e2d645872b5c32832f7034aa,2012_14,25k,scale,gbm,nationality-sex,keep-all,0.6601781415683268,0.911793557017055,1.1159402519228625,0.913519342229411,0.9084376578903048,0.9250652976672972,0.8809239940387481
0c140a918a65b56c15676ec9dc251203,2012_14,25k,do-not-scale,gbm,sex,keep-all,0.6601759591510566,0.9118492921636384,1.1161854865678296,0.9136002156624882,0.9084937966653568,0.9251553634152933,0.8809239940387481
f2bf6d42573d251e1f47e0ec14636fab,2010_14,25k,scale,logreg,age,drop-non-german,0.6675342616361196,0.9089399175119832,1.1262958421580649,0.906672058228872,0.9050693313871891,0.9229037197153922,0.875558867362146
d1e8ea61dbebd665f4d53e0263e32fe1,2012_14,25k,do-not-scale,penalized_logreg,nationality,keep-all,0.6827405380735201,0.9113699699030208,1.2010143796678183,0.9105809408276048,0.92954583730983,0.9424479870305325,0.9081967213114754
41527b2fd978b55b38f4c03c4909945e,2012_14,25k,do-not-scale,gbm,nationality-sex,drop-non-german,0.6573754084200071,0.9115371753427712,1.1158287816296957,0.9127375657096644,0.9078762701397856,0.924705034675313,0.8800298062593145
bd25832089170e88933a0a058da3bc4b,2012_14,25k,scale,logreg,age,keep-all,0.6669216713484384,0.9109463827889868,1.1260951956303644,0.9087478096778542,0.9081008252399932,0.9251553634152933,0.8798807749627422
0a4957d80956b384397344a293c820a4,2012_14,25k,do-not-scale,logreg,none,drop-non-german,0.6693719626315237,0.9112362055512206,1.2155501058967786,0.9102844049063216,0.9383596249929826,0.9492929838782312,0.92026825633383
4df5ac6e0876bbdcd925702f00c597ff,2012_14,25k,scale,rf,nationality-sex,keep-all,0.6599999999999999,0.9158845167762792,1.1453126741723332,0.9152176843240328,0.9102902374670184,0.9254255606592812,0.8852459016393442
98747486137f37cf92985a39255d4805,2014,25k,do-not-scale,penalized_logreg,nationality,keep-all,0.6801407511065904,0.9122951733363058,1.200858321257385,0.9110392236150424,0.9283669230337394,0.9424479870305325,0.9050670640834576
9b7c18e57a78e83f1018c8b3470861c8,2010_14,25k,scale,logreg,sex,keep-all,0.6600547731659231,0.9102887080593022,1.1249804926986957,0.9103652783393988,0.9124235109189918,0.927587138611186,0.8873323397913562
949e4a616ee5fa72e14645b7aac21cc4,2014,25k,scale,gbm,sex,drop-non-german,0.6870515801587707,0.9107903243785532,1.1119050273102218,0.9117670845127376,0.9117498456183686,0.9260560208952536,0.8880774962742176
