,level_0,level_1,level_2,level_3,level_4,level_5,individual importance,total importance,individual std,total std
41,universe_exclude_features,universe_exclude_subgroups,universe_model,universe_scale,,,0.001048778358845329,0.8538878802210725,0.0004307242809293821,0.004971645676658594
30,universe_exclude_features,universe_training_size,universe_training_year,,,,0.001033951617943608,0.06510252923775636,0.00033292380042337076,0.003669409304310221
62,universe_exclude_features,universe_exclude_subgroups,universe_model,universe_scale,universe_training_size,universe_training_year,0.0009832154341261595,1.0000000000000024,0.00023879071386499536,7.027479349379495e-15
33,universe_exclude_subgroups,universe_model,universe_training_year,,,,0.0009201724801620034,0.22002342083032742,0.00047803104960132437,0.0039761682167179496
48,universe_exclude_features,universe_model,universe_scale,universe_training_year,,,0.0009191203133872259,0.8397237346579582,0.0004346268381780196,0.005635436589162094
51,universe_exclude_subgroups,universe_model,universe_scale,universe_training_size,,,0.0009137551202326197,0.7087682154296379,0.0005285478614268411,0.010385965975003238
40,universe_scale,universe_training_size,universe_training_year,,,,0.0008987959068514909,0.25343056911070394,0.0004554839303379189,0.006502593869119871
13,universe_exclude_subgroups,universe_training_size,,,,,0.0008362594393005622,0.00828716364701099,0.0004805739162356544,0.0015989497805345687
57,universe_exclude_features,universe_exclude_subgroups,universe_model,universe_scale,universe_training_year,,0.0007851592716386424,0.8671643873897721,0.0003961797926202459,0.007590815706055703
43,universe_exclude_features,universe_exclude_subgroups,universe_model,universe_training_year,,,0.0007698594327568729,0.31563445820502845,0.0004283802799396282,0.006481999626697361
50,universe_exclude_features,universe_scale,universe_training_size,universe_training_year,,,0.0007257692300164962,0.3844351248718185,0.00019205961795093517,0.005161689039653176
56,universe_exclude_features,universe_exclude_subgroups,universe_model,universe_scale,universe_training_size,,0.0007179707476133638,0.9593940360720277,0.00022436639436421485,0.009330107521284011
22,universe_exclude_features,universe_exclude_subgroups,universe_scale,,,,0.0006844136752616272,0.3687341079195986,0.00029008083793968494,0.004296218647311156
10,universe_exclude_features,universe_training_year,,,,,0.0006699361053581353,0.04741604736761769,0.00029331103212480367,0.003300071004891071
54,universe_exclude_subgroups,universe_scale,universe_training_size,universe_training_year,,,0.0006327481638757518,0.2650670756136586,0.0003288766565767403,0.006963176265233923
46,universe_exclude_features,universe_exclude_subgroups,universe_training_size,universe_training_year,,,0.0006210257414353433,0.0735055212754542,0.00030831197858744114,0.0036391456244187484
38,universe_model,universe_scale,universe_training_year,,,,0.0005265971901298884,0.6142909993067902,0.0005044322490094695,0.008828808355552059
29,universe_exclude_features,universe_scale,universe_training_year,,,,0.0004609711466578751,0.3608440433469351,0.00022769964166375543,0.0048510582016557
52,universe_exclude_subgroups,universe_model,universe_scale,universe_training_year,,,0.0004449737564232629,0.6333560156823117,0.0005566676133387482,0.009702530406771265
24,universe_exclude_features,universe_exclude_subgroups,universe_training_year,,,,0.0004073517457361112,0.05196034313504648,0.00030076409617882084,0.0030862528620293553
59,universe_exclude_features,universe_exclude_subgroups,universe_scale,universe_training_size,universe_training_year,,0.0004018746033636416,0.4017408764680187,0.00013816979856425877,0.004064523710937024
23,universe_exclude_features,universe_exclude_subgroups,universe_training_size,,,,0.00037763014688911486,0.058165807314570474,0.00014417428450660638,0.003640610404721582
45,universe_exclude_features,universe_exclude_subgroups,universe_scale,universe_training_year,,,0.0003219253149196698,0.37276338189825786,0.00025254332073634047,0.004626398871837571
35,universe_exclude_subgroups,universe_scale,universe_training_year,,,,0.00030269697286218093,0.2432498092490601,0.0002275910544813559,0.006645005308121358
14,universe_exclude_subgroups,universe_training_year,,,,,0.0002962359865506977,0.0028626180429055896,0.00041721976779706543,0.0007600403978590881
44,universe_exclude_features,universe_exclude_subgroups,universe_scale,universe_training_size,,,0.00026457207828753577,0.38240235027057856,0.00010260373695534318,0.003987025106206897
19,universe_scale,universe_training_year,,,,,0.0002540308980092605,0.2353346132210071,0.0001759647560981696,0.006356943374309207
34,universe_exclude_subgroups,universe_scale,universe_training_size,,,,0.00022852192908134775,0.2503713549216494,0.0001600736005496856,0.006323262479608409
